Position (m),Deflection (mm)
0.0,-9.540096e-05
0.0033444816,4.3921173e-05
0.006688963,0.00018324703
0.0100334445,0.0003225468
0.013377926,0.00046177953
0.016722407,0.00060093775
0.020066889,0.0007400103
0.02341137,0.0008789748
0.026755853,0.0010178089
0.030100334,0.0011564977
0.033444814,0.0012950301
0.036789298,0.0014333688
0.040133778,0.0015715174
0.04347826,0.00170945
0.04682274,0.0018471479
0.050167225,0.0019845963
0.053511705,0.0021217987
0.056856185,0.002258703
0.06020067,0.0023952872
0.06354515,0.0025316104
0.06688963,0.00266755
0.07023411,0.0028031506
0.073578596,0.0029383712
0.07692308,0.0030732527
0.080267556,0.0032077208
0.08361204,0.0033417828
0.08695652,0.0034753978
0.090301,0.0036085844
0.09364548,0.0037412904
0.09698997,0.0038735569
0.10033445,0.004005298
0.10367893,0.004136551
0.10702341,0.004267305
0.110367894,0.0043974817
0.11371237,0.004527174
0.117056854,0.0046562552
0.12040134,0.004784748
0.12374582,0.0049126707
0.1270903,0.0050400198
0.13043478,0.005166687
0.13377926,0.0052927434
0.13712375,0.005418163
0.14046822,0.005542919
0.1438127,0.005666971
0.14715719,0.005790375
0.15050167,0.0059130713
0.15384616,0.006035041
0.15719064,0.006156314
0.16053511,0.0062768124
0.1638796,0.006396558
0.16722408,0.0065155737
0.17056856,0.006633766
0.17391305,0.006751176
0.17725752,0.0068678297
0.180602,0.0069836415
0.18394649,0.0070986077
0.18729097,0.007212747
0.19063544,0.007326044
0.19397993,0.007438455
0.19732441,0.0075500384
0.2006689,0.007660698
0.20401338,0.0077704825
0.20735785,0.007879365
0.21070234,0.007987309
0.21404682,0.008094355
0.2173913,0.008200403
0.22073579,0.008305557
0.22408026,0.008409724
0.22742474,0.0085129365
0.23076923,0.008615155
0.23411371,0.008716367
0.2374582,0.008816622
0.24080268,0.008915842
0.24414715,0.009014022
0.24749164,0.009111218
0.2508361,0.009207342
0.2541806,0.009302411
0.2575251,0.009396408
0.26086956,0.0094893575
0.26421404,0.009581242
0.26755852,0.009672057
0.27090302,0.009761732
0.2742475,0.009850301
0.27759197,0.009937774
0.28093645,0.010024134
0.28428093,0.01010938
0.2876254,0.01019346
0.2909699,0.010276407
0.29431438,0.010358188
0.29765886,0.010438841
0.30100334,0.010518312
0.3043478,0.010596577
0.30769232,0.010673739
0.3110368,0.010749623
0.31438127,0.010824326
0.31772575,0.010897864
0.32107022,0.010970134
0.3244147,0.011041239
0.3277592,0.011111066
0.33110368,0.01117973
0.33444816,0.011247106
0.33779263,0.01131326
0.3411371,0.011378128
0.34448162,0.011441767
0.3478261,0.011504166
0.35117057,0.011565261
0.35451505,0.011625104
0.35785952,0.011683647
0.361204,0.011740919
0.3645485,0.011796914
0.36789298,0.011851586
0.37123746,0.011904977
0.37458193,0.011957046
0.3779264,0.012007829
0.3812709,0.012057271
0.3846154,0.012105413
0.38795987,0.012152232
0.39130434,0.012197714
0.39464882,0.012241863
0.3979933,0.012284674
0.4013378,0.012326159
0.40468228,0.012366265
0.40802675,0.012405068
0.41137123,0.012442507
0.4147157,0.012478597
0.41806018,0.012513328
0.4214047,0.012546685
0.42474917,0.012578681
0.42809364,0.012609318
0.43143812,0.012638569
0.4347826,0.012666449
0.4381271,0.012692977
0.44147158,0.01271816
0.44481605,0.012741901
0.44816053,0.012764286
0.451505,0.012785304
0.45484948,0.012804911
0.458194,0.012823135
0.46153846,0.012839984
0.46488294,0.012855429
0.46822742,0.012869507
0.4715719,0.012882158
0.4749164,0.012893453
0.47826087,0.012903359
0.48160535,0.012911815
0.48494983,0.012918945
0.4882943,0.012924619
0.49163878,0.01292894
0.4949833,0.012931842
0.49832776,0.012933347
0.50167227,0.012933474
0.5050167,0.012932185
0.5083612,0.012929499
0.5117057,0.012925427
0.5150502,0.012919959
0.51839465,0.012913104
0.5217391,0.012904827
0.5250836,0.012895189
0.5284281,0.012884133
0.5317726,0.012871701
0.53511703,0.012857866
0.53846157,0.01284264
0.541806,0.012826048
0.5451505,0.012808032
0.548495,0.012788691
0.5518395,0.012767941
0.55518395,0.012745775
0.5585284,0.012722265
0.5618729,0.0126973875
0.5652174,0.012671094
0.5685619,0.012643464
0.5719063,0.012614485
0.57525086,0.012584105
0.5785953,0.012552362
0.5819398,0.012519266
0.5852843,0.012484811
0.58862877,0.0124490075
0.59197325,0.012411848
0.5953177,0.012373336
0.5986622,0.012333494
0.6020067,0.012292296
0.6053512,0.012249783
0.6086956,0.012205914
0.61204016,0.012160733
0.6153846,0.012114219
0.6187291,0.012066405
0.6220736,0.012017265
0.62541807,0.011966817
0.62876254,0.011915073
0.632107,0.011861991
0.6354515,0.011807643
0.638796,0.011751983
0.6421405,0.011695042
0.6454849,0.011636842
0.64882946,0.011577338
0.6521739,0.0115165785
0.6555184,0.011454549
0.6588629,0.011391252
0.66220737,0.011326734
0.66555184,0.011260942
0.6688963,0.01119392
0.6722408,0.011125665
0.67558527,0.011056162
0.6789298,0.010985475
0.6822742,0.010913532
0.68561876,0.010840401
0.6889632,0.010766085
0.6923077,0.010690555
0.6956522,0.010613833
0.69899666,0.010535926
0.70234114,0.0104568675
0.7056856,0.010376606
0.7090301,0.010295231
0.71237457,0.01021269
0.7157191,0.010128982
0.7190635,0.010044176
0.72240806,0.009958219
0.7257525,0.009871166
0.729097,0.009782966
0.7324415,0.009693686
0.73578596,0.009603307
0.73913044,0.009511856
0.7424749,0.009419298
0.7458194,0.009325726
0.74916387,0.00923105
0.75250834,0.009135349
0.7558528,0.009038592
0.75919735,0.008940805
0.7625418,0.008842004
0.7658863,0.00874218
0.7692308,0.008641377
0.77257526,0.00853955
0.77591974,0.008436773
0.7792642,0.008333024
0.7826087,0.008228306
0.78595316,0.008122617
0.78929764,0.008016016
0.7926421,0.007908473
0.79598665,0.0078000035
0.79933107,0.007690644
0.8026756,0.007580368
0.8060201,0.0074692257
0.80936456,0.007357195
0.81270903,0.0072442964
0.8160535,0.0071305577
0.819398,0.0070159715
0.82274246,0.0069005564
0.82608694,0.006784331
0.8294314,0.006667305
0.83277595,0.0065494664
0.83612037,0.006430857
0.8394649,0.006311476
0.8428094,0.006191371
0.84615386,0.0060704593
0.84949833,0.0059488993
0.8528428,0.005826555
0.8561873,0.0057035424
0.85953176,0.0055798385
0.86287624,0.005455425
0.8662207,0.005330393
0.86956525,0.0052046776
0.87290967,0.0050783474
0.8762542,0.004951393
0.8795987,0.004823802
0.88294315,0.004695639
0.8862876,0.0045668893
0.8896321,0.004437607
0.8929766,0.004307747
0.89632106,0.0041773487
0.89966553,0.004046431
0.90301,0.0039150063
0.90635455,0.0037830994
0.909699,0.003650684
0.9130435,0.0035178475
0.916388,0.0033845752
0.91973245,0.0032508187
0.9230769,0.0031166915
0.9264214,0.0029821433
0.9297659,0.0028472468
0.93311036,0.002711933
0.93645483,0.0025763288
0.9397993,0.0024403445
0.94314384,0.0023040473
0.9464883,0.0021674782
0.9498328,0.0020305924
0.9531773,0.0018934496
0.95652175,0.0017560422
0.9598662,0.0016184524
0.9632107,0.0014806204
0.9665552,0.0013425723
0.96989965,0.0012043603
0.97324413,0.00106599
0.9765886,0.00092747435
0.9799331,0.00078880414
0.9832776,0.00065005384
0.9866221,0.00051119924
0.9899666,0.0003722813
0.99331105,0.00023329258
0.9966555,9.42871e-05
1.0,-4.475005e-05
